"dB20(v(""/net6"" ?result ""ac"")) X","dB20(v(""/net6"" ?result ""ac"")) Y","phase(v(""/net6"" ?result ""ac"")) Y"
37931.4985,-9.170886248,0.0011842
38018.93963,-9.170886248,0.00118693
38106.58234,-9.170886248,0.001189666
38194.42708,-9.170886248,0.001192408
38282.47433,-9.170886248,0.001195157
38370.72455,-9.170886248,0.001197912
38459.1782,-9.170886248,0.001200674
38547.83577,-9.170886248,0.001203442
38636.69771,-9.170886248,0.001206216
38725.76449,-9.170886248,0.001208996
38815.0366,-9.170886248,0.001211783
38904.5145,-9.170886248,0.001214577
38994.19867,-9.170886248,0.001217377
39084.08958,-9.170886248,0.001220183
39174.18771,-9.170886248,0.001222996
39264.49354,-9.170886248,0.001225815
39355.00755,-9.170886248,0.001228641
39445.73021,-9.170886248,0.001231473
39536.66201,-9.170886248,0.001234312
39627.80343,-9.170886248,0.001237158
39719.15495,-9.170886248,0.00124001
39810.71706,-9.170886248,0.001242868
39902.49024,-9.170886248,0.001245733
39994.47498,-9.170886248,0.001248605
40086.67176,-9.170886248,0.001251483
40179.08108,-9.170886248,0.001254368
40271.70343,-9.170886248,0.00125726
40364.5393,-9.170886248,0.001260158
40457.58917,-9.170886248,0.001263063
40550.85354,-9.170886248,0.001265975
40644.33292,-9.170886248,0.001268893
40738.02778,-9.170886247,0.001271818
40831.93863,-9.170886247,0.00127475
40926.06597,-9.170886247,0.001277689
41020.4103,-9.170886247,0.001280634
41114.97211,-9.170886247,0.001283586
41209.75191,-9.170886247,0.001286545
41304.7502,-9.170886247,0.001289511
41399.96748,-9.170886247,0.001292484
41495.40426,-9.170886247,0.001295463
41591.06105,-9.170886247,0.001298449
41686.93835,-9.170886247,0.001301443
41783.03666,-9.170886247,0.001304443
41879.35651,-9.170886247,0.00130745
41975.8984,-9.170886247,0.001310464
42072.66284,-9.170886247,0.001313485
42169.65034,-9.170886247,0.001316513
42266.86143,-9.170886247,0.001319548
42364.2966,-9.170886247,0.001322589
42461.95639,-9.170886247,0.001325638
42559.84131,-9.170886247,0.001328694
42657.95188,-9.170886247,0.001331757
42756.28862,-9.170886247,0.001334827
42854.85204,-9.170886247,0.001337904
42953.64268,-9.170886247,0.001340988
43052.66105,-9.170886247,0.00134408
43151.90768,-9.170886247,0.001347178
43251.3831,-9.170886247,0.001350284
43351.08784,-9.170886247,0.001353396
43451.02242,-9.170886246,0.001356516
43551.18737,-9.170886246,0.001359643
43651.58322,-9.170886246,0.001362778
43752.21052,-9.170886246,0.001365919
43853.06978,-9.170886246,0.001369068
43954.16154,-9.170886246,0.001372224
44055.48635,-9.170886246,0.001375387
44157.04474,-9.170886246,0.001378558
44258.83724,-9.170886246,0.001381736
44360.86439,-9.170886246,0.001384921
44463.12675,-9.170886246,0.001388114
44565.62484,-9.170886246,0.001391314
44668.35922,-9.170886246,0.001394521
44771.33042,-9.170886246,0.001397736
44874.53899,-9.170886246,0.001400958
44977.98549,-9.170886246,0.001404187
45081.67045,-9.170886246,0.001407424
45185.59444,-9.170886246,0.001410669
45289.75799,-9.170886246,0.001413921
45394.16167,-9.170886246,0.00141718
45498.80602,-9.170886246,0.001420447
45603.6916,-9.170886246,0.001423721
45708.81896,-9.170886246,0.001427003
45814.18867,-9.170886246,0.001430293
45919.80128,-9.170886245,0.00143359
46025.65736,-9.170886245,0.001436895
46131.75746,-9.170886245,0.001440207
46238.10214,-9.170886245,0.001443527
46344.69197,-9.170886245,0.001446855
46451.52752,-9.170886245,0.00145019
46558.60935,-9.170886245,0.001453533
46665.93803,-9.170886245,0.001456884
46773.51413,-9.170886245,0.001460243
46881.33821,-9.170886245,0.001463609
46989.41086,-9.170886245,0.001466983
47097.73264,-9.170886245,0.001470365
47206.30413,-9.170886245,0.001473754
47315.1259,-9.170886245,0.001477151
47424.19853,-9.170886245,0.001480557
47533.52259,-9.170886245,0.00148397
47643.09868,-9.170886245,0.001487391
47752.92737,-9.170886245,0.001490819
47863.00923,-9.170886245,0.001494256
47973.34486,-9.170886245,0.001497701
48083.93484,-9.170886245,0.001501153
48194.77976,-9.170886245,0.001504614
48305.8802,-9.170886244,0.001508082
48417.23676,-9.170886244,0.001511559
48528.85002,-9.170886244,0.001515043
48640.72057,-9.170886244,0.001518536
48752.84901,-9.170886244,0.001522036
48865.23593,-9.170886244,0.001525545
48977.88194,-9.170886244,0.001529062
49090.78762,-9.170886244,0.001532587
49203.95357,-9.170886244,0.00153612
49317.3804,-9.170886244,0.001539661
49431.0687,-9.170886244,0.00154321
49545.01908,-9.170886244,0.001546767
49659.23215,-9.170886244,0.001550333
49773.7085,-9.170886244,0.001553907
49888.44875,-9.170886244,0.001557489
50003.4535,-9.170886244,0.00156108
50118.72336,-9.170886244,0.001564678
50234.25895,-9.170886244,0.001568285
50350.06088,-9.170886244,0.0015719
50466.12976,-9.170886244,0.001575524
50582.4662,-9.170886243,0.001579156
50699.07083,-9.170886243,0.001582796
50815.94426,-9.170886243,0.001586445
50933.08711,-9.170886243,0.001590102
51050.5,-9.170886243,0.001593768
51168.18355,-9.170886243,0.001597442
51286.1384,-9.170886243,0.001601124
51404.36516,-9.170886243,0.001604815
51522.86446,-9.170886243,0.001608515
51641.63693,-9.170886243,0.001612223
51760.6832,-9.170886243,0.001615939
51880.00389,-9.170886243,0.001619664
51999.59965,-9.170886243,0.001623398
52119.47111,-9.170886243,0.00162714
52239.6189,-9.170886243,0.001630891
52360.04366,-9.170886243,0.001634651
52480.74602,-9.170886243,0.001638419
