LoopGainMagnitude X,LoopGainMagnitude Y,Phase Margin X,Phase Margin Y
151356.124843622,45.47030235961265,151356.124843622,93.69834254352823
158489.3192461126,45.07198530396322,158489.3192461126,93.52018960875169
165958.6907437574,44.67352043821498,165958.6907437574,93.34942080456594
173780.0828749389,44.27492064366105,173780.0828749389,93.18568452882144
181970.0858609998,43.87619768138699,181970.0858609998,93.02864273535485
190546.0717963263,43.47736228789998,190546.0717963263,92.87797039057203
199526.2314968896,43.07842426275734,199526.2314968896,92.73335493570494
208929.6130854057,42.67939254883078,208929.6130854057,92.59449575632995
218776.1623949571,42.28027530578613,218776.1623949571,92.4611036602363
229086.7652767792,41.88107997731979,229086.7652767792,92.33290036496891
239883.2919019511,41.48181335265897,239883.2919019511,92.20961799552549
251188.6431509602,41.08248162278612,251188.6431509602,92.09099859302516
263026.7991895404,40.68309043182449,263026.7991895404,91.97679363443898
275422.870333819,40.28364492397255,275422.870333819,91.86676356398796
288403.1503126631,39.88414978636324,288403.1503126631,91.76067733590675
301995.1720402043,39.48460928817529,301995.1720402043,91.65831196884848
316227.7660168408,39.08502731631137,316227.7660168408,91.55945211166537
331131.1214825941,38.6854074079267,331131.1214825941,91.46388962044786
346736.8504525347,38.28575278006557,346736.8504525347,91.37142314644623
363078.0547701046,37.88606635664507,363078.0547701046,91.2818577348018
380189.3963205646,37.48635079300907,380189.3963205646,91.19500443334807
398107.1705535009,37.08660849824299,398107.1705535009,91.11067991145471
416869.3834703392,36.6868416554377,416869.3834703392,91.02870608820996
436515.83224017,36.28705224006774,436515.83224017,90.94890976958074
457088.1896148793,35.8872420366306,457088.1896148793,90.87112229412016
478630.0923226428,35.48741265368843,478630.0923226428,90.79517918654386
501187.233627277,35.08756553743453,501187.233627277,90.72091981885117
524807.4602497775,34.68770198389507,524807.4602497775,90.64818707830514
549540.8738576297,34.28782314987041,549540.8738576297,90.5768270418684
