M0:cdd (L=1.80e-07) Y,M0:cdd (L=3.60e-07) Y,M0:cdd (L=1.00e-06) Y,M0:cgb (L=1.80e-07) Y,M0:cgb (L=3.60e-07) Y,M0:cgb (L=1.00e-06) Y,M0:cgd (L=1.80e-07) Y,M0:cgd (L=3.60e-07) Y,M0:cgd (L=1.00e-06) Y,M0:cgg (L=1.80e-07) Y,M0:cgg (L=3.60e-07) Y,M0:cgg (L=1.00e-06) Y,M0:cgs (L=1.80e-07) Y,M0:cgs (L=3.60e-07) Y,M0:cgs (L=1.00e-06) Y,M0:cjd (L=1.80e-07) Y,M0:cjd (L=3.60e-07) Y,M0:cjd (L=1.00e-06) Y,M0:cjs (L=1.80e-07) Y,M0:cjs (L=3.60e-07) Y,M0:cjs (L=1.00e-06) Y,M0:css (L=1.80e-07) Y,M0:css (L=3.60e-07) Y,M0:css (L=1.00e-06) Y,M0:gds (L=1.80e-07) Y,M0:gds (L=3.60e-07) Y,M0:gds (L=1.00e-06) Y,M0:gm (L=1.80e-07) Y,M0:gm (L=3.60e-07) Y,M0:gm (L=1.00e-06) Y,M0:id (L=1.80e-07) Y,M0:id (L=3.60e-07) Y,M0:id (L=1.00e-06) Y,M0:vgs (L=1.80e-07) Y,M0:vgs (L=3.60e-07) Y,M0:vgs (L=1.00e-06) Y,M0:vth (L=1.80e-07) Y,M0:vth (L=3.60e-07) Y,M0:vth (L=1.00e-06) Y
3.25E-15,3.24E-15,3.22E-15,-2.49E-16,-5.75E-16,-1.58E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.11E-14,1.76E-14,4.01E-14,-7.66E-15,-1.38E-14,-3.53E-14,0,0,0,0,0,0,5.60E-15,9.03E-15,2.13E-14,1.09E-05,3.86E-06,9.12E-07,0.000595835,0.000268543,9.35E-05,-7.51E-05,-4.19E-05,-1.69E-05,-0.75,-0.75,-0.75,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-2.44E-16,-5.65E-16,-1.54E-15,-3.24E-15,-3.22E-15,-3.16E-15,1.11E-14,1.76E-14,4.01E-14,-7.66E-15,-1.38E-14,-3.54E-14,0,0,0,0,0,0,5.60E-15,9.03E-15,2.13E-14,1.29E-05,4.40E-06,1.00E-06,0.00064007,0.000284945,9.88E-05,-9.06E-05,-4.88E-05,-1.93E-05,-0.775,-0.775,-0.775,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-2.41E-16,-5.56E-16,-1.51E-15,-3.24E-15,-3.22E-15,-3.17E-15,1.11E-14,1.76E-14,4.01E-14,-7.67E-15,-1.38E-14,-3.54E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,1.51E-05,4.97E-06,1.10E-06,0.000679241,0.000300523,0.000103955,-0.000107079,-5.61E-05,-2.18E-05,-0.8,-0.8,-0.8,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.22E-15,-2.37E-16,-5.46E-16,-1.48E-15,-3.24E-15,-3.22E-15,-3.17E-15,1.11E-14,1.76E-14,4.01E-14,-7.67E-15,-1.38E-14,-3.54E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,1.75E-05,5.59E-06,1.20E-06,0.000714437,0.000315483,0.000109093,-0.000124507,-6.38E-05,-2.45E-05,-0.825,-0.825,-0.825,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.23E-15,-2.34E-16,-5.37E-16,-1.44E-15,-3.24E-15,-3.22E-15,-3.17E-15,1.11E-14,1.76E-14,4.01E-14,-7.68E-15,-1.38E-14,-3.54E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,2.00E-05,6.25E-06,1.31E-06,0.00074658,0.000329968,0.000114184,-0.000142775,-7.19E-05,-2.73E-05,-0.85,-0.85,-0.85,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.23E-15,-2.30E-16,-5.27E-16,-1.41E-15,-3.24E-15,-3.22E-15,-3.17E-15,1.11E-14,1.76E-14,4.01E-14,-7.68E-15,-1.38E-14,-3.55E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,2.27E-05,6.96E-06,1.42E-06,0.000776381,0.000344075,0.000119237,-0.000161816,-8.03E-05,-3.02E-05,-0.875,-0.875,-0.875,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.23E-15,-2.27E-16,-5.18E-16,-1.38E-15,-3.24E-15,-3.22E-15,-3.17E-15,1.11E-14,1.76E-14,4.01E-14,-7.68E-15,-1.38E-14,-3.55E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,2.56E-05,7.72E-06,1.54E-06,0.00080435,0.000357862,0.000124256,-0.000181579,-8.91E-05,-3.32E-05,-0.9,-0.9,-0.9,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.23E-15,-2.24E-16,-5.09E-16,-1.35E-15,-3.24E-15,-3.22E-15,-3.17E-15,1.11E-14,1.76E-14,4.01E-14,-7.69E-15,-1.39E-14,-3.55E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,2.87E-05,8.53E-06,1.67E-06,0.000830836,0.000371362,0.000129242,-0.000202021,-9.82E-05,-3.64E-05,-0.925,-0.925,-0.925,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.23E-15,-2.21E-16,-5.00E-16,-1.31E-15,-3.24E-15,-3.22E-15,-3.18E-15,1.11E-14,1.76E-14,4.01E-14,-7.69E-15,-1.39E-14,-3.56E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,3.20E-05,9.39E-06,1.81E-06,0.000856066,0.00038459,0.000134194,-0.00022311,-0.000107679,-3.97E-05,-0.95,-0.95,-0.95,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.24E-15,3.24E-15,-2.18E-16,-4.91E-16,-1.28E-15,-3.24E-15,-3.22E-15,-3.18E-15,1.11E-14,1.76E-14,4.00E-14,-7.69E-15,-1.39E-14,-3.56E-14,0,0,0,0,0,0,5.61E-15,9.03E-15,2.13E-14,3.55E-05,1.03E-05,1.95E-06,0.000880179,0.000397552,0.00013911,-0.000244815,-0.000117456,-4.31E-05,-0.975,-0.975,-0.975,-0.515143171,-0.457806699,-0.409827367
